=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.30 00:25:12 =~=~=~=~=~=~=~=~=~=~=~=
Temperature: 25.65
Temperature: 25.64
Temperature: 25.63
Temperature: 25.63
Temperature: 25.63
Temperature: 25.63
Temperature: 25.64
Temperature: 25.63
Temperature: 25.63
Temperature: 25.64
Temperature: 25.62
Temperature: 25.63
Temperature: 25.63
Temperature: 25.62
Temperature: 25.63
Temperature: 25.63
Temperature: 25.62
Temperature: 25.63
Temperature: 25.62
Temperature: 25.63
Temperature: 25.63
Temperature: 25.63
Temperature: 25.63
Temperature: 25.63
Temperature: 25.63
Temperature: 25.62
Temperature: 25.63
Temperature: 25.62
154,30.89,35.00,4.11,100.00,40.00,0.100,164.38,0.00
155,30.95,35.00,4.05,100.00,40.00,0.100,162.19,0.00
156,31.00,35.00,4.00,100.00,40.00,0.100,160.00,0.00
157,31.05,35.00,3.95,100.00,40.00,0.100,157.81,0.00
158,31.09,35.00,3.91,100.00,40.00,0.100,156.56,0.00
159,31.09,35.00,3.91,100.00,40.00,0.100,156.25,0.00
160,31.17,35.00,3.83,100.00,40.00,0.100,153.12,0.00
161,31.21,35.00,3.79,100.00,40.00,0.100,151.56,0.00
162,31.23,35.00,3.77,100.00,40.00,0.100,150.62,0.00
163,31.31,35.00,3.69,100.00,40.00,0.100,147.50,0.00
164,31.34,35.00,3.66,100.00,40.00,0.100,146.25,0.00
165,31.27,35.00,3.73,100.00,40.00,0.100,149.06,0.00
166,31.30,35.00,3.70,100.00,40.00,0.100,147.81,0.00
168,31.30,35.00,3.70,100.00,40.00,0.100,148.12,0.00
169,31.27,35.00,3.73,100.00,40.00,0.100,149.06,0.00
170,31.27,35.00,3.73,100.00,40.00,0.100,149.38,0.00
171,31.33,35.00,3.67,100.00,40.00,0.100,146.88,0.00
172,31.35,35.00,3.65,100.00,40.00,0.100,145.94,0.00
173,31.45,35.00,3.55,100.00,40.00,0.100,142.19,0.00
174,31.46,35.00,3.54,100.00,40.00,0.100,141.56,0.00
175,31.47,35.00,3.53,100.00,40.00,0.100,141.25,0.00
176,31.58,35.00,3.42,100.00,40.00,0.100,136.88,0.00
177,31.62,35.00,3.38,100.00,40.00,0.100,135.00,0.00
178,31.62,35.00,3.38,100.00,40.00,0.100,135.00,0.00
179,31.62,35.00,3.38,100.00,40.00,0.100,135.31,0.00
180,31.62,35.00,3.38,100.00,40.00,0.100,135.31,0.00
181,31.68,35.00,3.32,100.00,40.00,0.100,132.81,0.00
182,31.71,35.00,3.29,100.00,40.00,0.100,131.56,0.00
183,31.73,35.00,3.27,100.00,40.00,0.100,130.94,0.00
184,31.78,35.00,3.22,100.00,40.00,0.100,128.75,0.00
185,31.84,35.00,3.16,100.00,40.00,0.100,126.25,0.00
186,31.88,35.00,3.12,100.00,40.00,0.100,124.69,0.00
187,31.93,35.00,3.07,100.00,40.00,0.100,122.81,0.00
188,31.93,35.00,3.07,100.00,40.00,0.100,122.81,0.00
189,31.85,35.00,3.15,100.00,40.00,0.100,125.94,0.00
190,32.04,35.00,2.96,100.00,40.00,0.100,118.44,0.00
191,32.05,35.00,2.95,100.00,40.00,0.100,118.12,0.00
192,32.12,35.00,2.88,100.00,40.00,0.100,115.31,0.00
193,32.14,35.00,2.86,100.00,40.00,0.100,114.38,0.00
194,32.09,35.00,2.91,100.00,40.00,0.100,116.25,0.00
195,32.24,35.00,2.76,100.00,40.00,0.100,110.31,0.00
196,32.06,35.00,2.94,100.00,40.00,0.100,117.50,0.00
197,31.97,35.00,3.03,100.00,40.00,0.100,121.25,0.00
198,31.92,35.00,3.08,100.00,40.00,0.100,123.12,0.00
199,31.92,35.00,3.08,100.00,40.00,0.100,123.12,0.00
200,32.05,35.00,2.95,100.00,40.00,0.100,118.12,0.00
201,32.16,35.00,2.84,100.00,40.00,0.100,113.44,0.00
202,32.23,35.00,2.77,100.00,40.00,0.100,110.62,0.00
203,32.33,35.00,2.67,100.00,40.00,0.100,106.88,0.00
204,32.36,35.00,2.64,100.00,40.00,0.100,105.62,0.00
205,32.32,35.00,2.68,100.00,40.00,0.100,107.19,0.00
206,32.33,35.00,2.67,100.00,40.00,0.100,106.88,0.00
207,32.33,35.00,2.67,100.00,40.00,0.100,106.88,0.00
208,32.36,35.00,2.64,100.00,40.00,0.100,105.62,0.00
209,32.42,35.00,2.58,100.00,40.00,0.100,103.12,0.00
210,32.41,35.00,2.59,100.00,40.00,0.100,103.75,0.00
211,32.50,35.00,2.50,100.00,40.00,0.100,100.00,0.00
212,32.59,35.00,2.41,96.80,40.00,0.100,96.56,0.24
213,32.65,35.00,2.35,94.54,40.00,0.100,94.06,0.48
214,32.67,35.00,2.33,93.83,40.00,0.100,93.12,0.71
215,32.71,35.00,2.29,92.50,40.00,0.100,91.56,0.94
216,32.73,35.00,2.27,92.10,40.00,0.100,90.94,1.17
217,32.79,35.00,2.21,89.82,40.00,0.100,88.44,1.39
218,32.72,35.00,2.28,92.86,40.00,0.100,91.25,1.61
219,32.69,35.00,2.31,94.35,40.00,0.100,92.50,1.85
220,32.86,35.00,2.14,87.69,40.00,0.100,85.62,2.06
221,32.91,35.00,2.09,86.02,40.00,0.100,83.75,2.27
