189,32.42,35.00,2.58,100.00,40.00
190,32.49,35.00,2.51,100.00,40.00
191,32.55,35.00,2.45,97.81,40.00
192,32.58,35.00,2.42,96.88,40.00
193,32.59,35.00,2.41,96.25,40.00
194,32.66,35.00,2.34,93.75,40.00
195,32.66,35.00,2.34,93.75,40.00
196,32.74,35.00,2.26,90.31,40.00
197,32.79,35.00,2.21,88.44,40.00
198,32.81,35.00,2.19,87.50,40.00
199,32.82,35.00,2.18,87.19,40.00
200,32.86,35.00,2.14,85.62,40.00
201,32.92,35.00,2.08,83.12,40.00
202,32.96,35.00,2.04,81.56,40.00
203,32.97,35.00,2.03,81.25,40.00
204,32.98,35.00,2.02,80.94,40.00
205,33.02,35.00,1.98,79.06,40.00
206,33.05,35.00,1.95,78.12,40.00
207,33.07,35.00,1.93,77.19,40.00
208,33.12,35.00,1.88,75.31,40.00
209,33.16,35.00,1.84,73.44,40.00
210,33.20,35.00,1.80,72.19,40.00
211,33.15,35.00,1.85,74.06,40.00
212,33.19,35.00,1.81,72.50,40.00
213,33.20,35.00,1.80,72.19,40.00
214,33.23,35.00,1.77,70.94,40.00
215,33.30,35.00,1.70,68.12,40.00
216,33.30,35.00,1.70,67.81,40.00
217,33.32,35.00,1.68,67.19,40.00
218,33.35,35.00,1.65,65.94,40.00
219,33.41,35.00,1.59,63.75,40.00
220,33.43,35.00,1.57,62.81,40.00
221,33.45,35.00,1.55,61.88,40.00
222,33.52,35.00,1.48,59.06,40.00
223,33.53,35.00,1.47,58.75,40.00
224,33.56,35.00,1.44,57.50,40.00
225,33.58,35.00,1.42,56.88,40.00
226,33.60,35.00,1.40,55.94,40.00
227,33.62,35.00,1.38,55.00,40.00
228,33.65,35.00,1.35,54.06,40.00
229,33.66,35.00,1.34,53.75,40.00
230,33.66,35.00,1.34,53.75,40.00
231,33.67,35.00,1.33,53.12,40.00
232,33.67,35.00,1.33,53.12,40.00
233,33.71,35.00,1.29,51.56,40.00
234,33.72,35.00,1.28,51.25,40.00
235,33.73,35.00,1.27,50.94,40.00
236,33.74,35.00,1.26,50.31,40.00
237,33.79,35.00,1.21,48.44,40.00
